route_id,service_id,trip_id,trip_short_name,trip_headsign,wheelchair_accessible,bikes_allowed
9738165331,6098401802,6098401802,94742,XPB,1,0
9159610970,2486600755,2486600755,94742,XPB,1,0
1736300058,0984276718,0984276718,94742,XPB,1,0
9613357559,2656567015,2656567015,94742,XPB,1,0
8660532368,4633186158,4633186158,94763,FRZ,1,0
4479017665,6906000250,6906000250,94763,FRZ,1,0
3755023706,3784632549,3784632549,94763,FRZ,1,0
8019997291,7162878557,7162878557,94763,FRZ,1,0
8722828469,2077919327,2077919327,5616,ZFJ,1,0
7832182507,4874854135,4874854135,5616,ZFJ,1,0
4159389418,0512882784,0512882784,5616,ZFJ,1,0
3097985767,1305629393,1305629393,5616,ZFJ,1,0
4967212118,0755437580,0755437580,5616,ZFJ,1,0
0518799541,2793690168,2793690168,5616,ZFJ,1,0
1891485585,0226598047,0226598047,5616,ZFJ,1,0
5628430044,1986955794,1986955794,5616,ZFJ,1,0
8318224269,6003725976,6003725976,5616,ZFJ,1,0
1372419771,9139113466,9139113466,5617,XTS,1,0
4464791077,4318585890,4318585890,5617,XTS,1,0
2249192211,1224533766,1224533766,5617,XTS,1,0
8764019459,0038931066,0038931066,5617,XTS,1,0
5712335514,8925959419,8925959419,5617,XTS,1,0
4553013626,9568591052,9568591052,5617,XTS,1,0
9673116693,0339855977,0339855977,5617,XTS,1,0
9039044584,4684243691,4684243691,5617,XTS,1,0
8045311864,2624093543,2624093543,5617,XTS,1,0
8229884660,3699606394,3699606394,5617,XTS,1,0
4052704450,6805783944,6805783944,50487,NCE,1,0
1013587047,4941490672,4941490672,50487,NCE,1,0
1844909283,9817368613,9817368613,50487,NCE,1,0
6585278046,5887860001,5887860001,50487,NCE,1,0
4469322458,1392890599,1392890599,50487,NCE,1,0
0987297887,6572918836,6572918836,50487,NCE,1,0
4211921126,5045750358,5045750358,50590,XTS,1,0
3442923945,2557066425,2557066425,50590,XTS,1,0
6722836352,4281456350,4281456350,50049,XTS,1,0
7935298652,4000897347,4000897347,50049,XTS,1,0
8901035453,7612052144,7612052144,50049,XTS,1,0
5938551533,1175265953,1175265953,50049,XTS,1,0
2270812080,3294966477,3294966477,50049,XTS,1,0
7085487527,1053990852,1053990852,50049,XTS,1,0
5604587132,1729941699,1729941699,50049,XTS,1,0
8854121690,9696568312,9696568312,50049,XTS,1,0
8138934948,9640689638,9640689638,50049,XTS,1,0
5431686977,7270937097,7270937097,50050,XPB,1,0
3007939766,4850175840,4850175840,50050,XPB,1,0
4910163903,4551253667,4551253667,50050,XPB,1,0
5827498022,7011470101,7011470101,50050,XPB,1,0
2293491299,1800462264,1800462264,50050,XPB,1,0
2663814458,0672245943,0672245943,50050,XPB,1,0
6758308663,0624710836,0624710836,50050,XPB,1,0
2621139995,7919740365,7919740365,50050,XPB,1,0
5124618971,4082297060,4082297060,50050,XPB,1,0
5166748060,9856833811,9856833811,50489,NCE,1,0
0084681480,6943272586,6943272586,50489,NCE,1,0
5180322885,2151661188,2151661188,50489,NCE,1,0
7789683739,5947876445,5947876445,50489,NCE,1,0
8385895071,9946724916,9946724916,50489,NCE,1,0
8385895071,2536710724,2536710724,50489,NCE,1,0
9164548210,0101487599,0101487599,50489,NCE,1,0
6878549383,8153892308,8153892308,50591,NCE,1,0
5965855813,3638773964,3638773964,50591,NCE,1,0
4406672985,0620730944,0620730944,5787,XLU,1,0
0822755744,8178883599,8178883599,5787,XLU,1,0
3334159472,2286774461,2286774461,5787,XLU,1,0
1767115128,4657534246,4657534246,5787,XLU,1,0
5321022853,9434655858,9434655858,5787,XLU,1,0
2921263773,1304572602,1304572602,5787,XLU,1,0
4795428866,8862216442,8862216442,5787,XLU,1,0
9665859504,2025358015,2025358015,5787,XLU,1,0
8233827847,3130774192,3130774192,5787,XLU,1,0
8233827847,9453716112,9453716112,5787,XLU,1,0
9896516196,4911549755,4911549755,5790,XPB,1,0
5454938175,1075502770,1075502770,5790,XPB,1,0
4730998183,8979387959,8979387959,5790,XPB,1,0
2201874390,8540752790,8540752790,5790,XPB,1,0
0380561491,4355326285,4355326285,5790,XPB,1,0
0380561491,4722444902,4722444902,5790,XPB,1,0
4261479125,6909152308,6909152308,5790,XPB,1,0
5505380959,7769134240,7769134240,5790,XPB,1,0
9394451212,6610929459,6610929459,50115,XTS,1,0
4770696081,6482854791,6482854791,50115,XTS,1,0
5904581332,6922257727,6922257727,50115,XTS,1,0
6943296722,0561919063,0561919063,50115,XTS,1,0
4656379642,9845344520,9845344520,50115,XTS,1,0
0461787844,1086726169,1086726169,50115,XTS,1,0
7353232620,5570575798,5570575798,50115,XTS,1,0
0057911907,4654918188,4654918188,50115,XTS,1,0
0158341926,1491806890,1491806890,50115,XTS,1,0
6279571740,5244948319,5244948319,50114,XPB,1,0
1969970247,4960301233,4960301233,50114,XPB,1,0
7933360729,8551015546,8551015546,50114,XPB,1,0
8726059674,5379291326,5379291326,50114,XPB,1,0
7308734179,8759204310,8759204310,50114,XPB,1,0
4135357628,0671567389,0671567389,50114,XPB,1,0
9010240967,9062368182,9062368182,50114,XPB,1,0
6908295227,7468558983,7468558983,50114,XPB,1,0
5497232818,4782864579,4782864579,50114,XPB,1,0
4544895880,1031074770,1031074770,5539,XTS,1,0
5225726612,2879276105,2879276105,5539,XTS,1,0
5410229898,0937836526,0937836526,5539,XTS,1,0
7343964294,8036968295,8036968295,5539,XTS,1,0
6455009409,4750940901,4750940901,5539,XTS,1,0
9123464986,6911096408,6911096408,5539,XTS,1,0
7762811381,6205147473,6205147473,5539,XTS,1,0
1475813630,7016156317,7016156317,5539,XTS,1,0
1793053216,9339978975,9339978975,5539,XTS,1,0
4348495486,2837972734,2837972734,5539,XTS,1,0
9355676455,1218216473,1218216473,5539,XTS,1,0
5257707138,1559588147,1559588147,50488,ZFQ,1,0
5545788714,7052159096,7052159096,50488,ZFQ,1,0
6381477590,3327914189,3327914189,50488,ZFQ,1,0
3469511134,6653881860,6653881860,50488,ZFQ,1,0
0608257100,5926640057,5926640057,50488,ZFQ,1,0
0608257100,2619909897,2619909897,50488,ZFQ,1,0
5309550400,0610026728,0610026728,50488,ZFQ,1,0
0018372132,2520266065,2520266065,50486,ZFQ,1,0
6964180548,5785084348,5785084348,50486,ZFQ,1,0
8277155792,8089067053,8089067053,50486,ZFQ,1,0
5466042280,9655633961,9655633961,50486,ZFQ,1,0
1623778156,1482218236,1482218236,5500,ZFJ,1,0
8870176220,5113577432,5113577432,5500,ZFJ,1,0
6699312820,6617468368,6617468368,5500,ZFJ,1,0
9375770413,4530111344,4530111344,5500,ZFJ,1,0
5644644882,6993770029,6993770029,5500,ZFJ,1,0
4004729661,3813703575,3813703575,5500,ZFJ,1,0
0496087755,2844138330,2844138330,5500,ZFJ,1,0
7032953691,5080861370,5080861370,5500,ZFJ,1,0
6352074194,9994521015,9994521015,5500,ZFJ,1,0
5912397097,3705415067,3705415067,5500,ZFJ,1,0
3854313533,4938896434,4938896434,50688,ZFQ,1,0
4364942602,5564584315,5564584315,50688,ZFQ,1,0
5612139737,8960220786,8960220786,50688,ZFQ,1,0
5612139737,4841624491,4841624491,50688,ZFQ,1,0
2036411978,9727956718,9727956718,50689,XRF,1,0
1321191248,2543883271,2543883271,50689,XRF,1,0
0139187704,2485222798,2485222798,50689,XRF,1,0
8540611552,6475616367,6475616367,50689,XRF,1,0
8540611552,3455506716,3455506716,50689,XRF,1,0
7604595359,0015833219,0015833219,50686,ZFQ,1,0
4747198764,6220198017,6220198017,50686,ZFQ,1,0
7320218525,3345909986,3345909986,50686,ZFQ,1,0
7788628629,7892905035,7892905035,50687,XRF,1,0
1381412261,9099079744,9099079744,50687,XRF,1,0
2320669422,6759001700,6759001700,50687,XRF,1,0
5772807031,8379902605,8379902605,50687,XRF,1,0
8755762314,8611977474,8611977474,50687,XRF,1,0
4386899270,2208176325,2208176325,50787,XTS,1,0
3487893792,7917507559,7917507559,50787,XTS,1,0
6350832035,6158583700,6158583700,50787,XTS,1,0
8558700024,4420963769,4420963769,50787,XTS,1,0
8403124882,2355483386,2355483386,50787,XTS,1,0
2304656297,2928308232,2928308232,50787,XTS,1,0
8438944084,6490613388,6490613388,50787,XTS,1,0
5537194976,8389530085,8389530085,50787,XTS,1,0
8703760683,1730687215,1730687215,50787,XTS,1,0
8703760683,4892571658,4892571658,50787,XTS,1,0
2036174829,6920030700,6920030700,50787,XTS,1,0
9003478804,2271419309,2271419309,50787,XTS,1,0
7892427736,8127770562,8127770562,50787,XTS,1,0
5504474754,1916418542,1916418542,50790,XPB,1,0
